0,1,2,3,label
0.6510997,0.48740214,0.5680866,1.8969909,0.0
1.2276801,0.7631191,0.34888855,2.1150377,1.0
1.9683095,0.5648012,1.0350435,2.912395,0.0
3.23389,0.58243155,1.472392,0.22653621,0.0
0.970863,0.64632267,0.49505538,2.058992,0.0
0.56263644,0.43409944,0.5252095,1.8428936,1.0
0.48522872,0.3366416,0.5134697,1.7997234,0.0
1.2228473,0.7304207,0.30471075,2.056741,1.0
0.53449094,0.28882045,0.41675994,1.8736874,0.0
0.9909915,0.5572753,0.23996495,1.9403816,1.0
0.76762676,0.43645185,0.2957591,1.7752173,0.0
2.9568233,0.4871,1.4278924,3.810946,0.0
3.8538668,0.41190606,2.3440309,1.0892891,0.0
2.6920474,0.3912917,1.8710898,0.22892101,1.0
2.8296664,0.5434324,1.6586415,3.8949947,0.0
2.8369806,0.53758943,1.6776537,0.34166265,0.0
3.076194,0.43464255,1.3750672,0.22088313,0.0
0.7278352,0.38688427,0.1836737,1.8370212,1.0
1.9603066,0.5544018,0.85805625,2.9179826,0.0
2.9366465,0.5691583,1.8541734,0.3545934,0.0
1.188971,0.81068724,0.4058288,1.9930466,1.0
1.8998772,0.66544664,1.320412,3.0762844,0.0
3.1171691,0.61939144,1.5959985,0.33010668,1.0
0.9572344,0.5853916,0.35770988,1.8813578,0.0
3.1007366,0.44493258,1.4269298,0.21394038,1.0
1.7119919,0.44695774,1.0528972,2.7094598,0.0
0.5146355,0.24976145,0.30792353,1.7412795,0.0
2.99681,0.54416037,1.5421284,0.2690326,0.0
3.8706453,0.46938896,2.307307,1.0672939,0.0
1.7298528,0.35854447,0.9126035,2.71976,0.0
3.5420096,0.8265352,1.5201212,0.36009446,1.0
3.597458,0.17549384,2.435622,0.96099794,1.0
4.174218,0.53939515,2.7444303,1.1753738,0.0
1.7255925,0.45448887,1.0443423,2.7030606,0.0
0.93567836,0.520198,0.21330158,1.9045619,1.0
0.7576104,0.61124766,0.62091213,1.9886475,0.0
0.9631332,0.57353836,0.2167885,1.9220998,0.0
0.5784581,0.2693833,0.3685632,1.8020016,0.0
1.7721118,0.41870385,1.0104202,2.838066,0.0
4.297257,0.6605691,2.2492666,1.1333723,0.0
4.0937824,0.43104047,2.3057966,1.0552208,0.0
1.2273306,0.7888047,0.24283765,2.0065665,1.0
1.8750931,0.61654556,1.1927955,2.918014,0.0
1.6540691,0.4533429,1.1234993,2.7922487,0.0
0.9496433,0.74339586,0.7646512,2.2020617,0.0
4.212318,0.48408532,2.4733527,1.0744886,0.0
3.5971012,0.23811391,2.2785208,0.94123626,0.0
1.9374232,0.57671416,1.0148971,2.9005466,0.0
1.938719,0.53563356,0.9886677,2.8473916,0.0
3.348798,0.8038232,1.6514893,0.42882124,0.0
3.8701441,0.28056777,2.2086153,0.96803606,0.0
0.896557,0.63328564,0.47562826,2.0336223,0.0
0.60196567,0.45973554,0.5037646,1.8264635,0.0
1.2841829,0.8688734,0.30717698,2.0906372,0.0
0.6465284,0.46316314,0.5053293,1.823369,1.0
0.82810056,0.68818116,0.69755673,2.105052,0.0
1.863603,0.5565113,1.0680113,2.7542386,1.0
2.8181546,0.5122436,1.7925104,0.30069637,0.0
3.983765,0.5612851,2.3011405,1.1401585,1.0
1.6156529,0.34291747,1.0188775,2.644547,0.0
3.9830198,0.52770805,2.3291883,1.1526179,0.0
1.8310219,0.5745915,1.1425858,2.8395176,0.0
2.189973,0.88399625,1.1434823,2.9273267,1.0
1.871126,0.5412688,1.0572166,2.9311337,0.0
4.220593,0.4044642,2.227882,0.9454156,0.0
4.0451083,0.4287644,2.207153,1.044378,0.0
1.7986459,0.52574086,1.1034564,2.79109,0.0
0.44655338,0.28392208,0.4429928,1.7121524,0.0
4.165674,0.51741344,2.236839,1.1059176,0.0
0.9542854,0.5703051,0.20190369,1.9052542,0.0
0.6868908,0.42722327,0.4330425,1.7302934,1.0
1.6142865,0.40127206,1.1172917,2.7682724,0.0
